Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 3 [30080/50000 (60%)], Loss: 2.039949, Top1:46.477, Top5:75.269
Train Epoch: 3 [30720/50000 (61%)], Loss: 1.834865, Top1:46.472, Top5:75.289
Train Epoch: 3 [31360/50000 (63%)], Loss: 2.445489, Top1:46.442, Top5:75.251
Train Epoch: 3 [32000/50000 (64%)], Loss: 2.215682, Top1:46.410, Top5:75.221
Train Epoch: 3 [32640/50000 (65%)], Loss: 1.984751, Top1:46.395, Top5:75.214
Train Epoch: 3 [33280/50000 (66%)], Loss: 1.980213, Top1:46.416, Top5:75.246
Train Epoch: 3 [33920/50000 (68%)], Loss: 2.236416, Top1:46.375, Top5:75.215
Train Epoch: 3 [34560/50000 (69%)], Loss: 2.191228, Top1:46.320, Top5:75.179
Train Epoch: 3 [35200/50000 (70%)], Loss: 2.415524, Top1:46.265, Top5:75.113
Train Epoch: 3 [35840/50000 (72%)], Loss: 1.776949, Top1:46.268, Top5:75.145
Train Epoch: 3 [36480/50000 (73%)], Loss: 1.953909, Top1:46.287, Top5:75.134
Train Epoch: 3 [37120/50000 (74%)], Loss: 1.712611, Top1:46.302, Top5:75.177
Train Epoch: 3 [37760/50000 (75%)], Loss: 2.010574, Top1:46.370, Top5:75.177
Train Epoch: 3 [38400/50000 (77%)], Loss: 1.999640, Top1:46.381, Top5:75.192
Train Epoch: 3 [39040/50000 (78%)], Loss: 1.874109, Top1:46.387, Top5:75.164
Train Epoch: 3 [39680/50000 (79%)], Loss: 1.940968, Top1:46.435, Top5:75.199
Train Epoch: 3 [40320/50000 (81%)], Loss: 2.310778, Top1:46.397, Top5:75.168
Train Epoch: 3 [40960/50000 (82%)], Loss: 2.054690, Top1:46.424, Top5:75.193
Train Epoch: 3 [41600/50000 (83%)], Loss: 1.743123, Top1:46.474, Top5:75.238
Train Epoch: 3 [42240/50000 (84%)], Loss: 1.995304, Top1:46.421, Top5:75.220
Train Epoch: 3 [42880/50000 (86%)], Loss: 1.982543, Top1:46.419, Top5:75.238
Train Epoch: 3 [43520/50000 (87%)], Loss: 2.292675, Top1:46.412, Top5:75.223
Train Epoch: 3 [44160/50000 (88%)], Loss: 2.240906, Top1:46.393, Top5:75.217
Train Epoch: 3 [44800/50000 (90%)], Loss: 1.671794, Top1:46.378, Top5:75.192
Train Epoch: 3 [45440/50000 (91%)], Loss: 2.327628, Top1:46.414, Top5:75.198
Train Epoch: 3 [46080/50000 (92%)], Loss: 2.203152, Top1:46.418, Top5:75.160
Train Epoch: 3 [46720/50000 (93%)], Loss: 2.089684, Top1:46.437, Top5:75.156
Train Epoch: 3 [47360/50000 (95%)], Loss: 2.070139, Top1:46.411, Top5:75.152
Train Epoch: 3 [48000/50000 (96%)], Loss: 2.079441, Top1:46.392, Top5:75.141
Train Epoch: 3 [48640/50000 (97%)], Loss: 2.103854, Top1:46.380, Top5:75.121
Train Epoch: 3 [49280/50000 (98%)], Loss: 1.760081, Top1:46.360, Top5:75.087
Train Epoch: 3 [49920/50000 (100%)], Loss: 1.623169, Top1:46.417, Top5:75.092
('Training Time:', 252.38762092590332)

Test set: Average loss: 0.0002, Top1:42.790, Top5:71.940

('Testing Time:', 5.002703905105591)
Train Epoch: 4 [0/50000 (0%)], Loss: 1.785546, Top1:51.562, Top5:85.938
Train Epoch: 4 [640/50000 (1%)], Loss: 1.460364, Top1:52.415, Top5:81.818
Train Epoch: 4 [1280/50000 (3%)], Loss: 1.906120, Top1:51.786, Top5:81.250
Train Epoch: 4 [1920/50000 (4%)], Loss: 1.441962, Top1:51.966, Top5:80.696
Train Epoch: 4 [2560/50000 (5%)], Loss: 1.743262, Top1:52.630, Top5:80.945
Train Epoch: 4 [3200/50000 (6%)], Loss: 1.799160, Top1:52.053, Top5:80.300
Train Epoch: 4 [3840/50000 (8%)], Loss: 1.788940, Top1:52.357, Top5:80.072
Train Epoch: 4 [4480/50000 (9%)], Loss: 1.951756, Top1:52.817, Top5:80.502
Train Epoch: 4 [5120/50000 (10%)], Loss: 1.764117, Top1:52.701, Top5:79.919
Train Epoch: 4 [5760/50000 (12%)], Loss: 1.978493, Top1:52.593, Top5:79.825
Train Epoch: 4 [6400/50000 (13%)], Loss: 1.909102, Top1:52.754, Top5:79.827
Train Epoch: 4 [7040/50000 (14%)], Loss: 1.718190, Top1:52.928, Top5:79.969
Train Epoch: 4 [7680/50000 (15%)], Loss: 1.538410, Top1:53.151, Top5:80.075
Train Epoch: 4 [8320/50000 (17%)], Loss: 1.806248, Top1:53.101, Top5:80.105
Train Epoch: 4 [8960/50000 (18%)], Loss: 1.852335, Top1:53.025, Top5:79.953
Train Epoch: 4 [9600/50000 (19%)], Loss: 1.896895, Top1:53.032, Top5:79.925
Train Epoch: 4 [10240/50000 (20%)], Loss: 1.836831, Top1:53.135, Top5:79.969
Train Epoch: 4 [10880/50000 (22%)], Loss: 1.906914, Top1:53.143, Top5:79.943
Train Epoch: 4 [11520/50000 (23%)], Loss: 2.039448, Top1:53.177, Top5:79.843
